trade_date,inflation_rate,interest_rate,real_interest_rate,inflation_trend,interest_rate_trend,macro_environment
2015-01-02,5.52,6.51,0.9900000000000002,-0.020000000000000462,0.009999999999999787,Tight
2015-01-05,5.53,6.52,0.9899999999999993,0.010000000000000675,0.009999999999999787,Tight
2015-01-06,5.55,6.52,0.9699999999999998,0.019999999999999574,0.0,Tight
2015-01-07,5.55,6.51,0.96,0.0,-0.009999999999999787,Tight
2015-01-08,5.55,6.54,0.9900000000000002,0.0,0.03000000000000025,Tight
2015-01-09,5.56,6.53,0.9700000000000006,0.009999999999999787,-0.009999999999999787,Tight
2015-01-12,5.57,6.56,0.9899999999999993,0.010000000000000675,0.02999999999999936,Tight
2015-01-13,5.55,6.58,1.0300000000000002,-0.020000000000000462,0.020000000000000462,Tight
2015-01-14,5.52,6.57,1.0500000000000007,-0.03000000000000025,-0.009999999999999787,Tight
2015-01-15,5.49,6.58,1.0899999999999999,-0.02999999999999936,0.009999999999999787,Tight
2015-01-16,5.48,6.57,1.0899999999999999,-0.009999999999999787,-0.009999999999999787,Tight
2015-01-19,5.51,6.56,1.0499999999999998,0.02999999999999936,-0.010000000000000675,Tight
2015-01-20,5.5,6.57,1.0700000000000003,-0.009999999999999787,0.010000000000000675,Tight
2015-01-21,5.5,6.6,1.0999999999999996,0.0,0.02999999999999936,Tight
2015-01-22,5.54,6.58,1.04,0.040000000000000036,-0.019999999999999574,Tight
2015-01-23,5.53,6.57,1.04,-0.009999999999999787,-0.009999999999999787,Tight
2015-01-26,5.52,6.57,1.0500000000000007,-0.010000000000000675,0.0,Tight
2015-01-27,5.52,6.58,1.0600000000000005,0.0,0.009999999999999787,Tight
2015-01-28,5.54,6.55,1.0099999999999998,0.020000000000000462,-0.03000000000000025,Tight
2015-01-29,5.53,6.55,1.0199999999999996,-0.009999999999999787,0.0,Tight
2015-01-30,5.55,6.55,1.0,0.019999999999999574,0.0,Tight
2015-02-02,5.55,6.55,1.0,0.0,0.0,Tight
2015-02-03,5.55,6.54,0.9900000000000002,0.0,-0.009999999999999787,Tight
2015-02-04,5.51,6.55,1.04,-0.040000000000000036,0.009999999999999787,Tight
2015-02-05,5.53,6.56,1.0299999999999994,0.020000000000000462,0.009999999999999787,Tight
2015-02-06,5.5,6.56,1.0599999999999996,-0.03000000000000025,0.0,Tight
2015-02-09,5.49,6.57,1.08,-0.009999999999999787,0.010000000000000675,Tight
2015-02-10,5.5,6.58,1.08,0.009999999999999787,0.009999999999999787,Tight
2015-02-11,5.5,6.55,1.0499999999999998,0.0,-0.03000000000000025,Tight
2015-02-12,5.5,6.56,1.0599999999999996,0.0,0.009999999999999787,Tight
2015-02-13,5.48,6.59,1.1099999999999994,-0.019999999999999574,0.03000000000000025,Tight
2015-02-16,5.46,6.59,1.13,-0.020000000000000462,0.0,Tight
2015-02-17,5.46,6.61,1.1500000000000004,0.0,0.020000000000000462,Tight
2015-02-18,5.48,6.6,1.1199999999999992,0.020000000000000462,-0.010000000000000675,Tight
2015-02-19,5.49,6.62,1.13,0.009999999999999787,0.020000000000000462,Tight
2015-02-20,5.52,6.62,1.1000000000000005,0.02999999999999936,0.0,Tight
2015-02-23,5.54,6.62,1.08,0.020000000000000462,0.0,Tight
2015-02-24,5.55,6.63,1.08,0.009999999999999787,0.009999999999999787,Tight
2015-02-25,5.56,6.64,1.08,0.009999999999999787,0.009999999999999787,Tight
2015-02-26,5.59,6.63,1.04,0.03000000000000025,-0.009999999999999787,Tight
2015-02-27,5.61,6.63,1.0199999999999996,0.020000000000000462,0.0,Tight
2015-03-02,5.62,6.61,0.9900000000000002,0.009999999999999787,-0.019999999999999574,Tight
2015-03-03,5.62,6.64,1.0199999999999996,0.0,0.02999999999999936,Tight
2015-03-04,5.63,6.66,1.0300000000000002,0.009999999999999787,0.020000000000000462,Tight
2015-03-05,5.6,6.65,1.0500000000000007,-0.03000000000000025,-0.009999999999999787,Tight
2015-03-06,5.58,6.63,1.0499999999999998,-0.019999999999999574,-0.020000000000000462,Tight
2015-03-09,5.6,6.63,1.0300000000000002,0.019999999999999574,0.0,Tight
2015-03-10,5.58,6.64,1.0599999999999996,-0.019999999999999574,0.009999999999999787,Tight
2015-03-11,5.62,6.66,1.04,0.040000000000000036,0.020000000000000462,Tight
2015-03-12,5.57,6.67,1.0999999999999996,-0.04999999999999982,0.009999999999999787,Tight
2015-03-13,5.58,6.67,1.0899999999999999,0.009999999999999787,0.0,Tight
2015-03-16,5.6,6.66,1.0600000000000005,0.019999999999999574,-0.009999999999999787,Tight
2015-03-17,5.61,6.69,1.08,0.010000000000000675,0.03000000000000025,Tight
2015-03-18,5.62,6.71,1.0899999999999999,0.009999999999999787,0.019999999999999574,Tight
2015-03-19,5.62,6.72,1.0999999999999996,0.0,0.009999999999999787,Tight
2015-03-20,5.64,6.71,1.0700000000000003,0.019999999999999574,-0.009999999999999787,Tight
2015-03-23,5.62,6.72,1.0999999999999996,-0.019999999999999574,0.009999999999999787,Tight
2015-03-24,5.6,6.7,1.1000000000000005,-0.020000000000000462,-0.019999999999999574,Tight
2015-03-25,5.59,6.72,1.13,-0.009999999999999787,0.019999999999999574,Tight
2015-03-26,5.62,6.71,1.0899999999999999,0.03000000000000025,-0.009999999999999787,Tight
2015-03-27,5.59,6.73,1.1400000000000006,-0.03000000000000025,0.020000000000000462,Tight
2015-03-30,5.6,6.75,1.1500000000000004,0.009999999999999787,0.019999999999999574,Tight
2015-03-31,5.58,6.73,1.1500000000000004,-0.019999999999999574,-0.019999999999999574,Tight
2015-04-01,5.57,6.73,1.1600000000000001,-0.009999999999999787,0.0,Tight
2015-04-02,5.56,6.73,1.1700000000000008,-0.010000000000000675,0.0,Tight
2015-04-03,5.61,6.72,1.1099999999999994,0.05000000000000071,-0.010000000000000675,Tight
2015-04-06,5.63,6.72,1.0899999999999999,0.019999999999999574,0.0,Tight
2015-04-07,5.65,6.71,1.0599999999999996,0.020000000000000462,-0.009999999999999787,Tight
2015-04-08,5.65,6.71,1.0599999999999996,0.0,0.0,Tight
2015-04-09,5.67,6.72,1.0499999999999998,0.019999999999999574,0.009999999999999787,Tight
2015-04-10,5.64,6.7,1.0600000000000005,-0.03000000000000025,-0.019999999999999574,Tight
