date,company,sentiment_score
2015-01-01,HDFC,0.165
2015-01-02,HDFC,0.22
2015-01-05,HDFC,0.268
2015-01-06,HDFC,0.111
2015-01-07,HDFC,0.137
2015-01-08,HDFC,0.238
2015-01-09,HDFC,0.273
2015-01-12,HDFC,0.144
2015-01-13,HDFC,0.15
2015-01-14,HDFC,0.302
2015-01-15,HDFC,0.159
2015-01-16,HDFC,0.167
2015-01-19,HDFC,0.087
2015-01-20,HDFC,0.211
2015-01-21,HDFC,0.322
2015-01-22,HDFC,0.289
2015-01-23,HDFC,0.299
2015-01-26,HDFC,0.207
2015-01-27,HDFC,0.284
2015-01-28,HDFC,0.065
2015-01-29,HDFC,0.107
2015-01-30,HDFC,0.338
2015-02-02,HDFC,0.329
2015-02-03,HDFC,0.081
2015-02-04,HDFC,0.088
2015-02-05,HDFC,0.071
2015-02-06,HDFC,0.099
2015-02-09,HDFC,0.335
2015-02-10,HDFC,0.224
2015-02-11,HDFC,0.323
2015-02-12,HDFC,0.284
2015-02-13,HDFC,0.323
2015-02-16,HDFC,0.306
2015-02-17,HDFC,0.337
2015-02-18,HDFC,0.177
2015-02-19,HDFC,0.342
2015-02-20,HDFC,0.137
2015-02-23,HDFC,0.082
2015-02-24,HDFC,0.211
2015-02-25,HDFC,0.189
2015-02-26,HDFC,0.085
2015-02-27,HDFC,0.166
2015-03-02,HDFC,0.184
2015-03-03,HDFC,0.358
2015-03-04,HDFC,0.171
2015-03-05,HDFC,0.143
2015-03-06,HDFC,0.156
2015-03-09,HDFC,0.182
2015-03-10,HDFC,0.082
2015-03-11,HDFC,0.286
2015-03-12,HDFC,0.11
2015-03-13,HDFC,0.247
2015-03-16,HDFC,0.308
2015-03-17,HDFC,0.173
2015-03-18,HDFC,0.346
2015-03-19,HDFC,0.321
2015-03-20,HDFC,0.158
2015-03-23,HDFC,0.138
2015-03-24,HDFC,0.306
2015-03-25,HDFC,0.133
2015-03-26,HDFC,0.321
2015-03-27,HDFC,0.171
2015-03-30,HDFC,0.099
2015-03-31,HDFC,0.275
2015-04-01,HDFC,0.136
2015-04-02,HDFC,0.26
2015-04-03,HDFC,0.299
2015-04-06,HDFC,0.34
2015-04-07,HDFC,0.263
2015-04-08,HDFC,0.144
2015-04-09,HDFC,0.147
2015-04-10,HDFC,0.25
2015-04-13,HDFC,0.305
2015-04-14,HDFC,0.385
2015-04-15,HDFC,0.29
2015-04-16,HDFC,0.246
2015-04-17,HDFC,0.196
2015-04-20,HDFC,0.104
2015-04-21,HDFC,0.124
2015-04-22,HDFC,0.249
2015-04-23,HDFC,0.135
2015-04-24,HDFC,0.277
2015-04-27,HDFC,0.129
2015-04-28,HDFC,0.197
2015-04-29,HDFC,0.259
2015-04-30,HDFC,0.376
2015-05-01,HDFC,0.142
2015-05-04,HDFC,0.14
2015-05-05,HDFC,0.381
2015-05-06,HDFC,0.306
2015-05-07,HDFC,0.226
2015-05-08,HDFC,0.128
2015-05-11,HDFC,0.23
2015-05-12,HDFC,0.27
2015-05-13,HDFC,0.135
2015-05-14,HDFC,0.159
2015-05-15,HDFC,0.155
2015-05-18,HDFC,0.373
2015-05-19,HDFC,0.137
2015-05-20,HDFC,0.111
2015-05-21,HDFC,0.262
2015-05-22,HDFC,0.114
2015-05-25,HDFC,0.162
2015-05-26,HDFC,0.286
