date,index,value
2015-01-01,SENSEX,21722.15
2015-01-02,SENSEX,21692.84
2015-01-05,SENSEX,21923.69
2015-01-06,SENSEX,22013.51
2015-01-07,SENSEX,22076.64
2015-01-08,SENSEX,22003.52
2015-01-09,SENSEX,22037.44
2015-01-12,SENSEX,21982.25
2015-01-13,SENSEX,21974.91
2015-01-14,SENSEX,21689.05
2015-01-15,SENSEX,21786.62
2015-01-16,SENSEX,21653.02
2015-01-19,SENSEX,21802.57
2015-01-20,SENSEX,21988.47
2015-01-21,SENSEX,21981.9
2015-01-22,SENSEX,22039.58
2015-01-23,SENSEX,21985.47
2015-01-26,SENSEX,22005.72
2015-01-27,SENSEX,22021.87
2015-01-28,SENSEX,21893.4
2015-01-29,SENSEX,21853.02
2015-01-30,SENSEX,21750.36
2015-02-02,SENSEX,21777.93
2015-02-03,SENSEX,21753.62
2015-02-04,SENSEX,21656.08
2015-02-05,SENSEX,21670.04
2015-02-06,SENSEX,21713.89
2015-02-09,SENSEX,21534.73
2015-02-10,SENSEX,21620.52
2015-02-11,SENSEX,21440.05
2015-02-12,SENSEX,21431.89
2015-02-13,SENSEX,21550.18
2015-02-16,SENSEX,21502.92
2015-02-17,SENSEX,21523.06
2015-02-18,SENSEX,21408.93
2015-02-19,SENSEX,21387.66
2015-02-20,SENSEX,21185.65
2015-02-23,SENSEX,21068.44
2015-02-24,SENSEX,21341.97
2015-02-25,SENSEX,21216.2
2015-02-26,SENSEX,21176.81
2015-02-27,SENSEX,21185.12
2015-03-02,SENSEX,21300.15
2015-03-03,SENSEX,21112.48
2015-03-04,SENSEX,21303.61
2015-03-05,SENSEX,21457.45
2015-03-06,SENSEX,21514.64
2015-03-09,SENSEX,21653.78
2015-03-10,SENSEX,21742.89
2015-03-11,SENSEX,21804.7
2015-03-12,SENSEX,21708.72
2015-03-13,SENSEX,21595.77
2015-03-16,SENSEX,21730.06
2015-03-17,SENSEX,21828.06
2015-03-18,SENSEX,21740.47
2015-03-19,SENSEX,21837.74
2015-03-20,SENSEX,21823.38
2015-03-23,SENSEX,21747.8
2015-03-24,SENSEX,21610.3
2015-03-25,SENSEX,21601.92
2015-03-26,SENSEX,21491.06
2015-03-27,SENSEX,21430.75
2015-03-30,SENSEX,21534.66
2015-03-31,SENSEX,21517.62
2015-04-01,SENSEX,21406.44
2015-04-02,SENSEX,21408.2
2015-04-03,SENSEX,21316.1
2015-04-06,SENSEX,21392.75
2015-04-07,SENSEX,21279.85
2015-04-08,SENSEX,21189.1
2015-04-09,SENSEX,20987.96
2015-04-10,SENSEX,20921.45
2015-04-13,SENSEX,20870.57
2015-04-14,SENSEX,20577.22
2015-04-15,SENSEX,20763.19
2015-04-16,SENSEX,20810.06
2015-04-17,SENSEX,20739.92
2015-04-20,SENSEX,20684.9
2015-04-21,SENSEX,20636.85
2015-04-22,SENSEX,20526.13
2015-04-23,SENSEX,20520.76
2015-04-24,SENSEX,20574.79
2015-04-27,SENSEX,20468.83
2015-04-28,SENSEX,20282.05
2015-04-29,SENSEX,20054.96
2015-04-30,SENSEX,19960.65
2015-05-01,SENSEX,19799.56
2015-05-04,SENSEX,19721.43
2015-05-05,SENSEX,19600.78
2015-05-06,SENSEX,19646.31
2015-05-07,SENSEX,19765.49
2015-05-08,SENSEX,19835.27
2015-05-11,SENSEX,19884.75
2015-05-12,SENSEX,19989.14
2015-05-13,SENSEX,19996.99
2015-05-14,SENSEX,19991.46
2015-05-15,SENSEX,20039.64
2015-05-18,SENSEX,19966.94
2015-05-19,SENSEX,20075.75
2015-05-20,SENSEX,20025.02
2015-05-21,SENSEX,20031.27
2015-05-22,SENSEX,19972.16
2015-05-25,SENSEX,19920.21
2015-05-26,SENSEX,19639.95
2015-05-27,SENSEX,19553.68
2015-05-28,SENSEX,19669.1
2015-05-29,SENSEX,19696.7
2015-06-01,SENSEX,19779.04
2015-06-02,SENSEX,19703.68
2015-06-03,SENSEX,19644.39
2015-06-04,SENSEX,19702.79
