date,company,volume
2015-01-01,HDFC,1719741
2015-01-02,HDFC,1905072
2015-01-05,HDFC,2395398
2015-01-06,HDFC,1583246
2015-01-07,HDFC,2395040
2015-01-08,HDFC,1805091
2015-01-09,HDFC,1697419
2015-01-12,HDFC,2606226
2015-01-13,HDFC,1643797
2015-01-14,HDFC,1667676
2015-01-15,HDFC,2247773
2015-01-16,HDFC,2547206
2015-01-19,HDFC,2144644
2015-01-20,HDFC,1618293
2015-01-21,HDFC,2735659
2015-01-22,HDFC,1551013
2015-01-23,HDFC,2467775
2015-01-26,HDFC,2646934
2015-01-27,HDFC,2310873
2015-01-28,HDFC,1987402
2015-01-29,HDFC,2352451
2015-01-30,HDFC,2771098
2015-02-02,HDFC,2043937
2015-02-03,HDFC,2041222
2015-02-04,HDFC,1675594
2015-02-05,HDFC,2729782
2015-02-06,HDFC,2259037
2015-02-09,HDFC,1594674
2015-02-10,HDFC,2518104
2015-02-11,HDFC,2212189
2015-02-12,HDFC,2442302
2015-02-13,HDFC,1908805
2015-02-16,HDFC,2671747
2015-02-17,HDFC,2270041
2015-02-18,HDFC,2521037
2015-02-19,HDFC,2237116
2015-02-20,HDFC,2387668
2015-02-23,HDFC,1903162
2015-02-24,HDFC,2533400
2015-02-25,HDFC,2513053
2015-02-26,HDFC,1676304
2015-02-27,HDFC,2270352
2015-03-02,HDFC,2140038
2015-03-03,HDFC,1906244
2015-03-04,HDFC,1846201
2015-03-05,HDFC,1902772
2015-03-06,HDFC,1952600
2015-03-09,HDFC,2876875
2015-03-10,HDFC,2497534
2015-03-11,HDFC,1653942
2015-03-12,HDFC,2135785
2015-03-13,HDFC,2586192
2015-03-16,HDFC,2740798
2015-03-17,HDFC,2847363
2015-03-18,HDFC,2753639
2015-03-19,HDFC,2169736
2015-03-20,HDFC,2387422
2015-03-23,HDFC,1727783
2015-03-24,HDFC,2657016
2015-03-25,HDFC,2621026
2015-03-26,HDFC,1590663
2015-03-27,HDFC,1888117
2015-03-30,HDFC,2772909
2015-03-31,HDFC,1601979
2015-04-01,HDFC,2776336
2015-04-02,HDFC,1618001
2015-04-03,HDFC,2793579
2015-04-06,HDFC,2044639
2015-04-07,HDFC,2131620
2015-04-08,HDFC,2474652
2015-04-09,HDFC,2524204
2015-04-10,HDFC,2052945
2015-04-13,HDFC,1715168
2015-04-14,HDFC,2331220
2015-04-15,HDFC,2861530
2015-04-16,HDFC,2272579
2015-04-17,HDFC,1625296
2015-04-20,HDFC,2629958
2015-04-21,HDFC,2779170
2015-04-22,HDFC,2540911
2015-04-23,HDFC,1900004
2015-04-24,HDFC,1897175
2015-04-27,HDFC,1759926
2015-04-28,HDFC,2068914
2015-04-29,HDFC,2799100
2015-04-30,HDFC,2744443
2015-05-01,HDFC,2734376
2015-05-04,HDFC,2149099
2015-05-05,HDFC,2418588
2015-05-06,HDFC,2711909
2015-05-07,HDFC,2746502
2015-05-08,HDFC,1627345
2015-05-11,HDFC,1926584
2015-05-12,HDFC,2072223
2015-05-13,HDFC,2533240
2015-05-14,HDFC,1641531
2015-05-15,HDFC,2603185
2015-05-18,HDFC,2627494
2015-05-19,HDFC,2162377
2015-05-20,HDFC,1696473
2015-05-21,HDFC,2202484
2015-05-22,HDFC,2844051
2015-05-25,HDFC,2481204
2015-05-26,HDFC,2019093
2015-05-27,HDFC,2077921
2015-05-28,HDFC,1720984
2015-05-29,HDFC,2771750
2015-06-01,HDFC,1642138
2015-06-02,HDFC,2927825
2015-06-03,HDFC,2110659
2015-06-04,HDFC,1818523
2015-06-05,HDFC,1922640
2015-06-08,HDFC,2644612
2015-06-09,HDFC,1765527
2015-06-10,HDFC,1662733
2015-06-11,HDFC,2146178
2015-06-12,HDFC,1879017
2015-06-15,HDFC,2449251
2015-06-16,HDFC,2267463
2015-06-17,HDFC,1778588
2015-06-18,HDFC,2420701
2015-06-19,HDFC,2160951
2015-06-22,HDFC,2851721
2015-06-23,HDFC,2006059
2015-06-24,HDFC,2752470
2015-06-25,HDFC,1879970
2015-06-26,HDFC,3020968
2015-06-29,HDFC,2496969
2015-06-30,HDFC,2475170
2015-07-01,HDFC,1743547
2015-07-02,HDFC,2645891
2015-07-03,HDFC,2474169
2015-07-06,HDFC,1799236
2015-07-07,HDFC,1713733
2015-07-08,HDFC,2780823
2015-07-09,HDFC,1798936
2015-07-10,HDFC,2209827
2015-07-13,HDFC,2530140
2015-07-14,HDFC,2167611
2015-07-15,HDFC,2614278
2015-07-16,HDFC,2125335
2015-07-17,HDFC,2644609
2015-07-20,HDFC,2880528
2015-07-21,HDFC,2101051
2015-07-22,HDFC,2711215
2015-07-23,HDFC,2453584
2015-07-24,HDFC,2449345
2015-07-27,HDFC,2110994
2015-07-28,HDFC,3017042
2015-07-29,HDFC,2496534
2015-07-30,HDFC,3073946
2015-07-31,HDFC,2125956
2015-08-03,HDFC,2211100
2015-08-04,HDFC,1945265
2015-08-05,HDFC,2317865
2015-08-06,HDFC,1897606
2015-08-07,HDFC,1990968
2015-08-10,HDFC,2231141
2015-08-11,HDFC,1787394
2015-08-12,HDFC,1707472
2015-08-13,HDFC,3097142
2015-08-14,HDFC,2702681
2015-08-17,HDFC,3093246
2015-08-18,HDFC,5545443
2015-08-19,HDFC,1886940
2015-08-20,HDFC,2182066
2015-08-21,HDFC,2509985
2015-08-24,HDFC,1910401
2015-08-25,HDFC,3077536
2015-08-26,HDFC,2496057
2015-08-27,HDFC,2187577
2015-08-28,HDFC,2649220
2015-08-31,HDFC,3013754
2015-09-01,HDFC,2099156
2015-09-02,HDFC,2147366
2015-09-03,HDFC,2206056
2015-09-04,HDFC,2246646
2015-09-07,HDFC,1745431
2015-09-08,HDFC,2603600
2015-09-09,HDFC,2149464
2015-09-10,HDFC,2979736
2015-09-11,HDFC,2599335
2015-09-14,HDFC,1935996
2015-09-15,HDFC,3129405
2015-09-16,HDFC,2833696
2015-09-17,HDFC,2197283
2015-09-18,HDFC,2076662
2015-09-21,HDFC,2059081
2015-09-22,HDFC,2307615
2015-09-23,HDFC,2807664
2015-09-24,HDFC,2123949
2015-09-25,HDFC,2105738
2015-09-28,HDFC,2201290
2015-09-29,HDFC,1897943
2015-09-30,HDFC,2940479
2015-10-01,HDFC,2347770
2015-10-02,HDFC,2046918
2015-10-05,HDFC,2058362
2015-10-06,HDFC,2306119
2015-10-07,HDFC,2924191
2015-10-08,HDFC,1769936
2015-10-09,HDFC,2508546
2015-10-12,HDFC,2951921
2015-10-13,HDFC,1914823
2015-10-14,HDFC,2431565
2015-10-15,HDFC,2623483
2015-10-16,HDFC,2152616
2015-10-19,HDFC,2130674
2015-10-20,HDFC,2088355
2015-10-21,HDFC,2563851
2015-10-22,HDFC,1869463
2015-10-23,HDFC,2889799
2015-10-26,HDFC,1866530
2015-10-27,HDFC,2624800
2015-10-28,HDFC,2793209
2015-10-29,HDFC,3062589
2015-10-30,HDFC,3025579
2015-11-02,HDFC,3142768
2015-11-03,HDFC,2176517
2015-11-04,HDFC,2134563
2015-11-05,HDFC,2867263
2015-11-06,HDFC,2089160
2015-11-09,HDFC,2690488
2015-11-10,HDFC,2268678
2015-11-11,HDFC,2495287
2015-11-12,HDFC,1756246
2015-11-13,HDFC,2369135
2015-11-16,HDFC,2553377
2015-11-17,HDFC,2374522
2015-11-18,HDFC,2905954
2015-11-19,HDFC,2692210
2015-11-20,HDFC,1928839
2015-11-23,HDFC,2618112
2015-11-24,HDFC,2711695
2015-11-25,HDFC,3167180
2015-11-26,HDFC,2443739
2015-11-27,HDFC,1911868
2015-11-30,HDFC,2696013
2015-12-01,HDFC,3141093
2015-12-02,HDFC,2354967
2015-12-03,HDFC,2782662
2015-12-04,HDFC,2128752
2015-12-07,HDFC,2622925
2015-12-08,HDFC,3062604
2015-12-09,HDFC,2710050
2015-12-10,HDFC,2543298
2015-12-11,HDFC,3081913
2015-12-14,HDFC,3139124
2015-12-15,HDFC,3255772
2015-12-16,HDFC,2185394
2015-12-17,HDFC,1886206
2015-12-18,HDFC,1952351
2015-12-21,HDFC,2389088
2015-12-22,HDFC,2711467
2015-12-23,HDFC,2167867
2015-12-24,HDFC,2339469
2015-12-25,HDFC,2153488
2015-12-28,HDFC,2100575
2015-12-29,HDFC,2383161
2015-12-30,HDFC,3085885
2015-12-31,HDFC,2567539
2016-01-01,HDFC,2037199
2016-01-04,HDFC,2227092
2016-01-05,HDFC,2505082
2016-01-06,HDFC,2076098
2016-01-07,HDFC,3285737
2016-01-08,HDFC,3271440
2016-01-11,HDFC,2445350
2016-01-12,HDFC,2550177
2016-01-13,HDFC,2941571
2016-01-14,HDFC,2680059
2016-01-15,HDFC,3288056
2016-01-18,HDFC,2198342
2016-01-19,HDFC,2870583
2016-01-20,HDFC,2248871
2016-01-21,HDFC,1919254
2016-01-22,HDFC,2760261
2016-01-25,HDFC,1875973
2016-01-26,HDFC,3087203
2016-01-27,HDFC,2253720
2016-01-28,HDFC,3180832
2016-01-29,HDFC,2100758
2016-02-01,HDFC,3247177
2016-02-02,HDFC,3116950
2016-02-03,HDFC,3104595
2016-02-04,HDFC,2766339
2016-02-05,HDFC,2511414
2016-02-08,HDFC,2960081
2016-02-09,HDFC,2078802
2016-02-10,HDFC,2979746
2016-02-11,HDFC,2567586
2016-02-12,HDFC,2680077
2016-02-15,HDFC,2069655
2016-02-16,HDFC,3119270
2016-02-17,HDFC,1984470
2016-02-18,HDFC,2209604
2016-02-19,HDFC,1929065
2016-02-22,HDFC,3074401
2016-02-23,HDFC,2600856
2016-02-24,HDFC,2421920
2016-02-25,HDFC,2214138
2016-02-26,HDFC,2995423
2016-02-29,HDFC,3149539
2016-03-01,HDFC,2187327
2016-03-02,HDFC,2970613
2016-03-03,HDFC,3110116
2016-03-04,HDFC,2493520
2016-03-07,HDFC,3002579
2016-03-08,HDFC,1915882
2016-03-09,HDFC,3220188
2016-03-10,HDFC,2387530
2016-03-11,HDFC,3144780
2016-03-14,HDFC,3072159
2016-03-15,HDFC,2505144
2016-03-16,HDFC,1879681
2016-03-17,HDFC,2842860
2016-03-18,HDFC,5538453
2016-03-21,HDFC,2950191
2016-03-22,HDFC,2347927
2016-03-23,HDFC,3082791
2016-03-24,HDFC,2994940
2016-03-25,HDFC,2269154
2016-03-28,HDFC,3139231
2016-03-29,HDFC,3282988
2016-03-30,HDFC,2101402
2016-03-31,HDFC,2816306
2016-04-01,HDFC,2377405
2016-04-04,HDFC,2317301
2016-04-05,HDFC,2581245
2016-04-06,HDFC,2989201
2016-04-07,HDFC,2909981
2016-04-08,HDFC,1870262
2016-04-11,HDFC,2123719
2016-04-12,HDFC,2830014
2016-04-13,HDFC,2050648
2016-04-14,HDFC,2379219
2016-04-15,HDFC,3052594
2016-04-18,HDFC,2893262
2016-04-19,HDFC,3143654
2016-04-20,HDFC,2646177
2016-04-21,HDFC,2187043
2016-04-22,HDFC,2333151
2016-04-25,HDFC,2148716
2016-04-26,HDFC,2331700
2016-04-27,HDFC,2320972
2016-04-28,HDFC,2208222
2016-04-29,HDFC,1934753
2016-05-02,HDFC,2645623
2016-05-03,HDFC,3227833
2016-05-04,HDFC,3221118
2016-05-05,HDFC,1821674
2016-05-06,HDFC,3074327
2016-05-09,HDFC,3022783
2016-05-10,HDFC,2002821
2016-05-11,HDFC,2700218
2016-05-12,HDFC,2047786
2016-05-13,HDFC,2343143
2016-05-16,HDFC,2106392
2016-05-17,HDFC,2939741
2016-05-18,HDFC,2557362
2016-05-19,HDFC,2896521
2016-05-20,HDFC,2141399
2016-05-23,HDFC,2285601
2016-05-24,HDFC,2298829
2016-05-25,HDFC,2608696
2016-05-26,HDFC,2464766
2016-05-27,HDFC,2922947
2016-05-30,HDFC,2152591
2016-05-31,HDFC,3944109
2016-06-01,HDFC,2199781
2016-06-02,HDFC,2374489
2016-06-03,HDFC,2161479
2016-06-06,HDFC,2491623
2016-06-07,HDFC,2568868
2016-06-08,HDFC,1829043
2016-06-09,HDFC,2999039
2016-06-10,HDFC,2003392
2016-06-13,HDFC,2604036
2016-06-14,HDFC,3006690
2016-06-15,HDFC,1966745
2016-06-16,HDFC,2056976
2016-06-17,HDFC,1841746
2016-06-20,HDFC,1950931
2016-06-21,HDFC,2085552
2016-06-22,HDFC,2143643
2016-06-23,HDFC,2973345
2016-06-24,HDFC,1821249
2016-06-27,HDFC,2780409
2016-06-28,HDFC,2853463
2016-06-29,HDFC,2987332
2016-06-30,HDFC,3171756
2016-07-01,HDFC,2553722
2016-07-04,HDFC,2324912
2016-07-05,HDFC,2355413
2016-07-06,HDFC,2742987
2016-07-07,HDFC,3230677
2016-07-08,HDFC,1872594
2016-07-11,HDFC,2453632
2016-07-12,HDFC,1817676
2016-07-13,HDFC,2854107
2016-07-14,HDFC,1859215
2016-07-15,HDFC,2743974
2016-07-18,HDFC,2849772
2016-07-19,HDFC,1845736
2016-07-20,HDFC,1883610
2016-07-21,HDFC,2143327
2016-07-22,HDFC,2486142
2016-07-25,HDFC,1779555
2016-07-26,HDFC,2445798
2016-07-27,HDFC,1799890
2016-07-28,HDFC,1916011
2016-07-29,HDFC,1776778
2016-08-01,HDFC,2630058
2016-08-02,HDFC,2214835
2016-08-03,HDFC,2578301
2016-08-04,HDFC,3045822
2016-08-05,HDFC,2638202
2016-08-08,HDFC,2831717
2016-08-09,HDFC,2450787
2016-08-10,HDFC,3207779
2016-08-11,HDFC,1920926
2016-08-12,HDFC,3216937
2016-08-15,HDFC,1997299
2016-08-16,HDFC,2532556
2016-08-17,HDFC,2175940
2016-08-18,HDFC,2132747
2016-08-19,HDFC,2084241
2016-08-22,HDFC,3094733
2016-08-23,HDFC,2721731
2016-08-24,HDFC,1851687
2016-08-25,HDFC,2122384
2016-08-26,HDFC,2951925
2016-08-29,HDFC,1742575
2016-08-30,HDFC,2664061
2016-08-31,HDFC,1912919
2016-09-01,HDFC,2981089
2016-09-02,HDFC,2133151
2016-09-05,HDFC,1989020
2016-09-06,HDFC,2156958
2016-09-07,HDFC,3089445
2016-09-08,HDFC,2233915
2016-09-09,HDFC,4251550
2016-09-12,HDFC,1781442
2016-09-13,HDFC,2642640
2016-09-14,HDFC,1911265
2016-09-15,HDFC,2590150
2016-09-16,HDFC,3087803
2016-09-19,HDFC,1899895
2016-09-20,HDFC,2687608
2016-09-21,HDFC,2302244
2016-09-22,HDFC,2443905
2016-09-23,HDFC,2745806
2016-09-26,HDFC,2725317
2016-09-27,HDFC,2833258
2016-09-28,HDFC,2921848
2016-09-29,HDFC,1981849
2016-09-30,HDFC,3162466
2016-10-03,HDFC,2804834
2016-10-04,HDFC,2953482
2016-10-05,HDFC,2100265
2016-10-06,HDFC,2751547
2016-10-07,HDFC,1878460
2016-10-10,HDFC,2685568
2016-10-11,HDFC,2807167
2016-10-12,HDFC,2224909
2016-10-13,HDFC,2215453
2016-10-14,HDFC,2988050
2016-10-17,HDFC,2113387
2016-10-18,HDFC,2549903
2016-10-19,HDFC,1899049
2016-10-20,HDFC,1819061
2016-10-21,HDFC,1708430
2016-10-24,HDFC,2167787
2016-10-25,HDFC,2282184
2016-10-26,HDFC,2723320
2016-10-27,HDFC,1881324
2016-10-28,HDFC,2015286
2016-10-31,HDFC,2069357
2016-11-01,HDFC,2255388
2016-11-02,HDFC,2445104
2016-11-03,HDFC,1811344
2016-11-04,HDFC,2481595
2016-11-07,HDFC,2058739
2016-11-08,HDFC,2297298
2016-11-09,HDFC,2696619
2016-11-10,HDFC,2478528
2016-11-11,HDFC,2080984
2016-11-14,HDFC,2349249
2016-11-15,HDFC,1816324
2016-11-16,HDFC,2728979
2016-11-17,HDFC,3094620
2016-11-18,HDFC,2059897
2016-11-21,HDFC,2475542
2016-11-22,HDFC,2011144
2016-11-23,HDFC,1770210
2016-11-24,HDFC,2692254
2016-11-25,HDFC,2709584
2016-11-28,HDFC,3054447
2016-11-29,HDFC,2112880
2016-11-30,HDFC,1902883
2016-12-01,HDFC,2500141
2016-12-02,HDFC,2143969
2016-12-05,HDFC,2165647
2016-12-06,HDFC,2646008
2016-12-07,HDFC,2980609
2016-12-08,HDFC,2034820
2016-12-09,HDFC,2594731
2016-12-12,HDFC,1832989
2016-12-13,HDFC,2215430
2016-12-14,HDFC,2783906
2016-12-15,HDFC,2970400
2016-12-16,HDFC,3035560
2016-12-19,HDFC,1839308
2016-12-20,HDFC,2308566
2016-12-21,HDFC,2889097
2016-12-22,HDFC,2678839
2016-12-23,HDFC,2134790
2016-12-26,HDFC,2338411
2016-12-27,HDFC,2403905
2016-12-28,HDFC,1822836
2016-12-29,HDFC,2701375
2016-12-30,HDFC,1641483
2017-01-02,HDFC,2280764
2017-01-03,HDFC,2635915
2017-01-04,HDFC,2271812
2017-01-05,HDFC,1943326
2017-01-06,HDFC,2400200
2017-01-09,HDFC,2987489
2017-01-10,HDFC,2242059
2017-01-11,HDFC,1709308
2017-01-12,HDFC,2999329
2017-01-13,HDFC,2425265
2017-01-16,HDFC,1966029
2017-01-17,HDFC,2238847
2017-01-18,HDFC,2929295
2017-01-19,HDFC,2707314
2017-01-20,HDFC,2388031
2017-01-23,HDFC,9590757
2017-01-24,HDFC,1788962
2017-01-25,HDFC,1697952
2017-01-26,HDFC,2237358
2017-01-27,HDFC,2530191
2017-01-30,HDFC,2864331
2017-01-31,HDFC,1705395
2017-02-01,HDFC,2615693
2017-02-02,HDFC,1814612
2017-02-03,HDFC,2364238
2017-02-06,HDFC,1894098
2017-02-07,HDFC,2462327
2017-02-08,HDFC,2748953
2017-02-09,HDFC,9578071
2017-02-10,HDFC,2237885
2017-02-13,HDFC,2581386
2017-02-14,HDFC,1915222
2017-02-15,HDFC,2336028
2017-02-16,HDFC,1877675
2017-02-17,HDFC,2574164
2017-02-20,HDFC,1767654
2017-02-21,HDFC,1768832
2017-02-22,HDFC,2354324
2017-02-23,HDFC,1932979
2017-02-24,HDFC,2925942
2017-02-27,HDFC,2532641
2017-02-28,HDFC,2616149
2017-03-01,HDFC,2538813
2017-03-02,HDFC,2000670
2017-03-03,HDFC,2885823
2017-03-06,HDFC,1606791
2017-03-07,HDFC,2138479
2017-03-08,HDFC,2834469
2017-03-09,HDFC,2121548
2017-03-10,HDFC,2176597
2017-03-13,HDFC,2320098
2017-03-14,HDFC,2217794
2017-03-15,HDFC,2834308
2017-03-16,HDFC,1780440
2017-03-17,HDFC,1641126
2017-03-20,HDFC,2217311
2017-03-21,HDFC,2501597
2017-03-22,HDFC,2014428
2017-03-23,HDFC,2830042
2017-03-24,HDFC,1937331
2017-03-27,HDFC,2459750
2017-03-28,HDFC,1957167
2017-03-29,HDFC,2636966
2017-03-30,HDFC,2257822
2017-03-31,HDFC,2116070
2017-04-03,HDFC,2376139
2017-04-04,HDFC,1762669
2017-04-05,HDFC,2603667
2017-04-06,HDFC,1943403
2017-04-07,HDFC,1847874
2017-04-10,HDFC,1785112
2017-04-11,HDFC,1891206
2017-04-12,HDFC,2358582
2017-04-13,HDFC,2246952
2017-04-14,HDFC,1933742
2017-04-17,HDFC,1781571
2017-04-18,HDFC,1636061
2017-04-19,HDFC,1922101
2017-04-20,HDFC,2408537
2017-04-21,HDFC,1626954
2017-04-24,HDFC,2033760
2017-04-25,HDFC,1970969
2017-04-26,HDFC,2600458
2017-04-27,HDFC,6223378
2017-04-28,HDFC,1985317
2017-05-01,HDFC,2351363
2017-05-02,HDFC,1911447
2017-05-03,HDFC,2391082
2017-05-04,HDFC,2454612
2017-05-05,HDFC,2056142
2017-05-08,HDFC,3371726
2017-05-09,HDFC,2557182
2017-05-10,HDFC,1766936
2017-05-11,HDFC,2388630
2017-05-12,HDFC,2702137
2017-05-15,HDFC,2655041
2017-05-16,HDFC,1982283
2017-05-17,HDFC,2267537
2017-05-18,HDFC,2393442
2017-05-19,HDFC,1533007
2017-05-22,HDFC,2167054
2017-05-23,HDFC,1856414
2017-05-24,HDFC,2313434
2017-05-25,HDFC,2067880
2017-05-26,HDFC,2352265
